CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
4/4/2015,14,6,-2,-3,-6,-8,85,54,23,1026,1023,1019,16,16,16,47,18,60,0,1,,253
4/5/2015,19,11,2,1,-3,-7,85,52,18,1020,1017,1014,16,16,16,34,16,47,0,5,,252
4/6/2015,17,9,1,4,2,-1,89,67,44,1019,1016,1015,16,16,13,27,11,35,1.02,6,Rain,68
4/7/2015,8,6,3,7,3,1,96,88,79,1020,1018,1016,16,9,3,34,22,45,T,8,Rain,51
4/8/2015,10,7,4,7,5,3,100,90,80,1016,1014,1011,11,5,0,27,14,40,1.27,8,Fog-Rain,47
4/9/2015,22,13,5,18,11,4,93,80,66,1011,1005,997,16,7,0,53,22,74,35.81,8,Fog-Rain-Thunderstorm,145
4/10/2015,17,11,4,6,3,-1,82,60,37,1021,1010,1000,16,16,16,56,28,74,T,5,Rain,274
4/11/2015,17,10,3,2,0,-3,82,56,29,1025,1023,1021,16,16,16,26,12,37,0,0,,236
4/12/2015,20,13,5,4,2,-1,70,50,29,1021,1018,1013,16,16,16,37,17,45,T,5,Rain,177
4/13/2015,18,14,9,12,5,-3,93,59,24,1022,1015,1010,16,14,6,40,20,55,5.59,6,Rain-Thunderstorm,258
4/14/2015,19,12,4,-1,-6,-10,60,37,13,1025,1024,1022,16,16,16,19,8,26,0,4,,58
4/15/2015,18,12,6,0,-2,-6,53,40,26,1025,1024,1022,16,16,16,29,17,39,0,5,,68
4/16/2015,19,13,7,7,4,-4,92,61,30,1021,1020,1017,16,14,6,26,10,37,T,6,Rain,83
4/17/2015,26,17,7,9,7,5,93,62,31,1020,1017,1015,16,15,8,23,8,27,0,3,,244
4/18/2015,18,13,8,8,4,0,77,62,46,1019,1017,1015,16,16,11,42,16,53,0,5,,33
4/19/2015,20,14,9,11,5,-4,100,65,30,1014,1002,991,16,12,5,26,15,37,11.68,7,Rain,59
4/20/2015,11,8,5,10,6,-1,100,77,53,1003,994,990,16,13,4,47,26,60,0.25,7,Rain,263
4/21/2015,12,8,3,1,-3,-6,73,53,32,1006,1003,1002,16,16,16,61,32,84,T,3,,268
4/22/2015,8,4,1,-3,-4,-7,70,56,41,1012,1009,1005,16,16,11,42,21,52,T,6,Snow,288
4/23/2015,13,7,0,-3,-6,-9,69,46,22,1018,1016,1013,16,16,16,35,14,43,0,0,,303
4/24/2015,14,6,-2,2,-4,-10,79,49,19,1019,1016,1012,16,16,10,32,11,42,4.06,5,Rain,92
4/25/2015,9,7,4,6,3,-1,89,76,62,1012,1009,1006,16,14,6,35,21,45,4.06,8,Rain,63
4/26/2015,13,8,2,-1,-3,-5,76,54,32,1018,1015,1012,16,16,16,37,18,48,0,0,,24
4/27/2015,13,8,3,2,0,-1,76,60,43,1021,1020,1017,16,16,16,32,16,40,0,1,,24
4/28/2015,14,8,2,2,1,0,85,66,46,1022,1019,1015,16,16,16,26,8,32,0,2,,46
4/29/2015,16,10,3,3,2,1,79,59,39,1015,1014,1012,16,16,16,27,11,35,T,4,,23
4/30/2015,11,7,3,3,1,-1,85,71,56,1020,1016,1012,16,16,16,34,19,43,0,4,,21
5/1/2015,19,12,3,5,3,1,92,65,37,1022,1020,1019,16,16,16,23,9,26,0,4,,42
5/2/2015,24,17,10,6,3,1,68,46,23,1019,1016,1014,16,16,14,26,11,35,0,4,,220
5/3/2015,26,19,13,15,9,4,90,62,33,1015,1014,1012,16,15,8,35,16,45,10.67,7,Rain-Thunderstorm,200
5/4/2015,23,18,13,14,11,3,87,68,48,1022,1018,1012,16,16,16,29,14,42,T,7,,285
5/5/2015,13,11,8,11,8,3,100,76,51,1024,1023,1022,16,6,0,24,15,31,24.13,8,Fog-Rain-Thunderstorm,36
5/6/2015,25,17,8,16,11,8,100,79,57,1023,1021,1018,14,5,0,21,9,24,0,7,Fog,57
5/7/2015,28,20,11,17,12,9,89,60,31,1018,1015,1012,16,15,11,47,18,60,1.02,4,Rain,178
5/8/2015,27,22,17,18,17,16,93,72,51,1015,1014,1012,16,13,2,50,14,68,19.05,8,Rain-Thunderstorm,212
5/9/2015,18,13,8,17,12,6,100,86,71,1020,1017,1014,16,8,0,27,14,37,7.37,8,Fog-Rain,38
5/10/2015,12,10,7,9,8,7,100,92,83,1018,1017,1015,16,6,0,27,15,35,3.56,8,Fog-Rain,37
5/11/2015,20,14,8,17,12,4,100,76,52,1014,1010,1008,16,13,0,45,21,60,5.59,7,Rain,209
5/12/2015,13,10,7,5,3,1,68,60,51,1026,1019,1012,16,16,16,45,27,61,T,7,,280
5/13/2015,11,8,4,2,1,-1,79,65,50,1033,1030,1027,16,16,16,26,15,35,0,2,,37
5/14/2015,19,13,6,11,6,0,82,63,44,1029,1024,1017,16,15,8,34,17,40,6.1,7,Rain,129
5/15/2015,24,19,14,17,15,12,93,77,60,1016,1015,1014,16,15,6,27,13,37,T,8,Rain,224
5/16/2015,26,22,17,19,18,16,93,80,67,1016,1015,1014,16,15,10,26,13,32,0.76,6,Rain,184
5/17/2015,28,23,19,21,18,16,93,74,54,1015,1013,1010,16,14,2,45,25,58,T,7,Rain,177
5/18/2015,25,17,9,18,12,3,87,64,40,1021,1016,1013,16,16,16,42,25,56,0,4,,251
5/19/2015,12,8,4,3,2,-1,71,63,54,1025,1023,1021,16,16,16,29,17,39,0,7,,337
5/20/2015,9,7,4,4,0,-4,86,64,42,1025,1023,1021,16,16,13,27,13,32,1.02,7,Rain,24
5/21/2015,21,14,7,6,3,1,76,52,27,1020,1018,1016,16,16,16,29,16,40,0,4,,280
5/22/2015,19,14,8,5,1,-4,76,50,23,1026,1022,1016,16,16,16,26,14,34,0,3,,63
