AEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
4/9/2015,24,18,12,15,12,9,88,60,34,1020,1018,1016,31,11,10,23,14,,0,4,,168
4/10/2015,25,20,16,15,14,12,88,64,33,1021,1019,1017,31,13,10,21,14,,0,4,Rain,163
4/11/2015,25,21,18,18,15,13,83,64,44,1020,1017,1016,31,13,10,21,14,,0,4,Rain,174
4/12/2015,26,21,16,18,17,15,88,73,50,1019,1016,1014,31,11,10,21,13,,0,2,,166
4/13/2015,26,21,17,18,17,15,94,73,45,1021,1018,1016,31,12,10,23,13,,0,2,,161
4/14/2015,25,21,16,18,16,14,88,70,44,1024,1021,1019,31,13,10,21,13,,0,1,,147
4/15/2015,25,21,17,18,17,15,94,73,49,1026,1024,1022,31,13,10,14,10,,0.25,4,Rain,152
4/16/2015,26,21,16,19,17,15,94,73,49,1026,1024,1022,31,12,10,19,11,,0,2,,126
4/17/2015,26,21,16,20,17,16,94,76,51,1024,1022,1020,31,10,4,23,11,,3.05,2,Rain,110
4/18/2015,27,22,18,21,19,18,100,78,52,1023,1021,1018,31,12,8,26,11,,0,4,Rain,55
4/19/2015,27,23,19,22,20,18,100,82,54,1020,1018,1016,31,12,10,21,11,,2.03,5,Rain,358
4/20/2015,22,19,16,21,18,13,100,87,76,1019,1017,1016,31,11,6,24,14,,4.06,6,Rain,217
4/21/2015,22,17,13,12,7,4,88,52,24,1017,1016,1014,31,11,10,32,18,,0,4,,243
4/22/2015,22,17,11,12,9,6,82,62,37,1015,1013,1011,10,10,10,21,10,,0,1,,269
4/23/2015,24,17,11,15,12,9,94,68,39,1013,1011,1009,31,12,10,21,11,,0,1,,211
4/24/2015,26,20,14,17,15,12,94,71,30,1011,1009,1007,31,16,10,16,10,29,0,2,,292
